disease,language,category,words,images,intrawikis,sections,total_edits,first_edit,last_edit,unique_editors
Parkinson,ar,Parkinsonism,875,8,189,3,50,2013-06-29 18:22:34,2024-01-31 22:28:31,16
Parkinson,az,Parkinsonism,61,1,0,2,10,2015-09-14 10:43:10,2023-08-18 20:57:21,8
Parkinson,ca,Parkinsonism,211,3,35,1,22,2011-07-03 15:59:13,2023-10-21 22:21:45,17
Parkinson,en,Parkinsonism,2545,2,310,6,568,2002-04-27 16:41:54,2024-07-29 01:59:39,242
Parkinson,es,Parkinsonism,1140,2,75,4,21,2018-04-26 18:46:24,2024-04-09 17:21:48,16
Parkinson,fa,Parkinsonism,531,1,116,1,5,2021-09-01 11:04:58,2022-03-16 12:45:04,2
Parkinson,fi,Parkinsonism,215,0,4,2,31,2007-04-19 14:14:42,2023-09-09 17:41:19,24
Parkinson,he,Parkinsonism,316,4,31,5,39,2020-05-17 15:28:14,2025-01-20 20:40:47,8
Parkinson,hy,Parkinsonism,1012,3,18,3,20,2017-08-25 07:32:12,2024-06-16 16:02:59,8
Parkinson,it,Parkinsonism,2300,8,195,6,159,2005-02-27 18:37:41,2024-09-11 08:16:14,75
Parkinson,ja,Parkinsonism,227,3,100,6,137,2003-12-30 06:04:39,2024-10-26 04:50:56,87
Parkinson,ky,Parkinsonism,266,1,7,3,4,2012-08-14 06:19:17,2013-03-11 11:36:34,4
Parkinson,nl,Parkinsonism,579,4,42,6,52,2005-01-31 02:00:51,2023-03-20 23:10:31,31
Parkinson,pl,Parkinsonism,539,2,48,2,44,2007-03-04 17:36:18,2023-12-28 20:03:44,31
Parkinson,pt,Parkinsonism,1418,2,55,7,261,2005-01-02 18:08:51,2023-11-06 19:02:41,154
Parkinson,ru,Parkinsonism,1297,4,136,7,70,2011-07-26 08:01:40,2025-02-02 21:33:36,29
Parkinson,simple,Parkinsonism,232,2,10,1,17,2012-06-18 08:05:57,2022-02-24 16:58:29,15
Parkinson,th,Parkinsonism,192,2,15,2,7,2017-08-18 07:04:48,2024-12-16 03:15:44,4
Parkinson,tr,Parkinsonism,847,1,93,2,66,2016-09-22 05:57:23,2025-01-15 19:32:54,38
Parkinson,uz,Parkinsonism,51,2,5,2,3,2022-08-28 14:12:35,2022-09-04 16:29:53,2
Parkinson,zh,Parkinsonism,1506,5,131,4,34,2019-12-07 09:14:20,2025-02-04 10:30:13,11
Parkinson,ar,Rapid_eye_movement_sleep_behavior_disorder,2443,6,175,7,36,2016-01-18 11:02:43,2023-02-09 01:00:07,17
Parkinson,de,Rapid_eye_movement_sleep_behavior_disorder,1497,2,42,7,62,2007-09-20 10:35:56,2021-08-20 20:44:38,38
Parkinson,en,Rapid_eye_movement_sleep_behavior_disorder,4026,1,349,13,459,2003-08-17 19:12:05,2024-11-13 07:24:37,200
Parkinson,fa,Rapid_eye_movement_sleep_behavior_disorder,795,1,24,6,12,2020-12-10 14:36:23,2024-11-25 09:26:08,10
Parkinson,fi,Rapid_eye_movement_sleep_behavior_disorder,36,0,2,0,4,2020-02-24 14:36:33,2021-12-29 19:10:58,4
Parkinson,fr,Rapid_eye_movement_sleep_behavior_disorder,2530,10,288,9,48,2006-12-02 15:55:25,2025-01-31 23:26:14,33
Parkinson,it,Rapid_eye_movement_sleep_behavior_disorder,1175,5,162,2,19,2024-02-05 09:33:29,2024-10-03 10:58:12,4
Parkinson,ja,Rapid_eye_movement_sleep_behavior_disorder,288,2,123,7,36,2006-11-23 03:25:32,2024-06-15 14:16:55,26
Parkinson,ko,Rapid_eye_movement_sleep_behavior_disorder,177,3,13,3,11,2022-03-09 03:58:31,2025-02-08 12:46:38,6
Parkinson,nl,Rapid_eye_movement_sleep_behavior_disorder,637,6,68,3,5,2017-04-17 15:07:39,2021-08-27 01:07:42,3
Parkinson,pl,Rapid_eye_movement_sleep_behavior_disorder,1580,1,34,7,13,2016-09-18 04:04:14,2024-02-25 20:43:42,6
Parkinson,ar,Deep_brain_stimulation,992,7,18,6,76,2014-04-16 17:38:50,2024-10-22 12:33:53,20
Parkinson,ca,Deep_brain_stimulation,3430,3,61,7,32,2022-10-21 10:47:14,2025-01-04 06:41:58,7
Parkinson,cs,Deep_brain_stimulation,520,1,11,4,9,2013-04-19 17:51:16,2021-08-06 10:34:33,8
Parkinson,da,Deep_brain_stimulation,675,2,12,2,40,2009-12-20 12:14:52,2022-01-26 07:50:49,21
Parkinson,de,Deep_brain_stimulation,3288,7,61,10,294,2005-11-27 20:12:19,2025-02-20 12:36:25,142
Parkinson,en,Deep_brain_stimulation,7998,9,141,10,1065,2003-11-17 16:57:21,2025-02-16 05:11:05,456
Parkinson,es,Deep_brain_stimulation,544,3,26,3,31,2011-02-15 23:49:10,2022-08-27 23:33:09,25
Parkinson,fa,Deep_brain_stimulation,319,1,11,2,43,2014-10-15 04:24:40,2023-12-23 11:46:52,21
Parkinson,fi,Deep_brain_stimulation,1645,4,17,8,29,2011-01-20 17:16:07,2023-12-04 20:54:01,17
Parkinson,fr,Deep_brain_stimulation,2130,5,58,9,77,2009-11-04 13:00:34,2024-10-16 17:46:12,46
Parkinson,he,Deep_brain_stimulation,1217,6,44,5,43,2011-06-25 21:30:03,2024-11-09 20:39:33,26
Parkinson,hu,Deep_brain_stimulation,672,3,26,6,81,2007-11-05 09:53:58,2024-08-08 15:12:45,35
Parkinson,it,Deep_brain_stimulation,354,7,14,7,36,2009-03-11 13:09:58,2024-05-18 18:39:37,29
Parkinson,ja,Deep_brain_stimulation,108,3,31,7,49,2007-03-10 14:39:35,2024-07-01 07:33:20,34
Parkinson,ko,Deep_brain_stimulation,1555,2,22,7,35,2012-11-29 15:59:21,2024-06-02 14:38:00,18
Parkinson,nl,Deep_brain_stimulation,1315,3,34,5,124,2006-01-28 10:15:08,2023-01-23 09:57:31,54
Parkinson,no,Deep_brain_stimulation,909,2,34,5,69,2006-04-22 21:54:59,2022-07-11 10:21:05,24
Parkinson,pl,Deep_brain_stimulation,585,2,18,1,35,2008-12-07 15:41:39,2024-08-08 20:06:32,24
Parkinson,pt,Deep_brain_stimulation,1096,2,29,6,31,2014-02-07 10:11:32,2025-01-12 01:49:27,17
Parkinson,ru,Deep_brain_stimulation,586,3,12,3,7,2019-06-16 15:28:27,2024-12-28 08:53:07,4
Parkinson,simple,Deep_brain_stimulation,1532,0,46,3,23,2013-04-02 23:44:01,2024-11-07 07:35:08,15
Parkinson,sr,Deep_brain_stimulation,3286,20,25,12,91,2021-07-13 16:50:41,2025-01-07 18:00:49,7
Parkinson,sv,Deep_brain_stimulation,629,0,10,4,21,2014-05-29 10:31:07,2024-01-30 11:51:04,11
Parkinson,te,Deep_brain_stimulation,762,5,6,5,7,2024-10-29 16:36:05,2024-10-30 07:24:35,1
Parkinson,tr,Deep_brain_stimulation,178,2,12,1,38,2005-10-31 04:33:00,2023-12-26 18:50:31,29
Parkinson,zh_yue,Deep_brain_stimulation,126,2,16,2,6,2021-05-18 06:34:55,2022-11-06 01:18:09,2
Parkinson,zh,Deep_brain_stimulation,38,3,8,1,34,2010-12-21 03:11:14,2024-01-26 06:44:05,21
Parkinson,ar,Lewy_body,164,5,17,3,23,2019-03-14 20:17:21,2025-02-13 15:39:11,8
Parkinson,de,Lewy_body,202,3,17,2,42,2005-02-18 16:06:22,2024-12-11 12:57:39,37
Parkinson,en,Lewy_body,1758,5,51,6,331,2004-02-27 22:21:21,2024-12-06 01:02:18,182
Parkinson,es,Lewy_body,1710,6,49,5,4,2022-02-13 18:49:21,2023-10-20 08:28:25,3
Parkinson,fa,Lewy_body,592,3,27,4,14,2015-11-04 11:31:37,2024-10-01 19:50:57,9
Parkinson,fi,Lewy_body,172,2,9,1,7,2013-12-02 12:41:49,2024-09-22 16:38:38,5
Parkinson,fr,Lewy_body,806,3,29,5,37,2011-10-23 16:05:43,2023-11-08 09:42:25,30
Parkinson,gl,Lewy_body,1433,5,30,5,23,2020-05-02 20:59:53,2022-01-03 00:07:55,2
Parkinson,id,Lewy_body,265,2,12,1,7,2018-01-05 15:05:56,2021-01-29 16:26:29,6
Parkinson,io,Lewy_body,39,0,3,0,5,2022-05-16 19:52:09,2023-06-26 20:08:51,1
Parkinson,it,Lewy_body,1229,5,33,6,66,2008-02-22 17:43:15,2025-01-30 12:03:23,32
