disease,language,multstabin,words,images,intrawikis,sections,total_edits,unique_editors,tsle,ref_count,ref_idx,nm_ref,parc_ref,txt_idx,nm_txt,parc_txt,edt_idx,nm_edt,parc_edt,multcoin,parc_multcoin
Alzheimer,en,h,300326,558,23185,709,28189,11523,1.826,3477,1,1,5,1,1,5,1,1,5,1,5
Alzheimer,ar,h,73644,379,12487,164,2090,721,2.451,743,3,0.97,5,2,0.99,5,6,0.95,5,0.97,5
Alzheimer,fr,h,60116,206,2363,163,3900,1793,2.235,607,4,0.96,5,3,0.98,5,3,0.98,5,0.97,5
Alzheimer,ja,h,28856,122,2060,200,1549,788,2.455,922,2,0.99,5,6,0.95,5,7,0.94,5,0.96,5
Alzheimer,it,h,44702,122,2233,112,2145,1081,1.8,480,8,0.9,5,5,0.96,5,2,0.99,5,0.95,5
Alzheimer,es,h,52389,94,1603,160,3956,1891,2.629,580,5,0.94,5,7,0.94,5,6,0.95,5,0.94,5
Alzheimer,ru,h,52903,116,2550,173,1973,1085,2.788,580,5,0.94,5,4,0.97,5,9,0.91,5,0.94,5
Alzheimer,de,h,42504,72,1757,171,5239,2616,2.595,405,10,0.87,5,8,0.93,5,5,0.96,5,0.92,5
Alzheimer,zh,h,19969,126,1904,71,1165,519,2.043,481,7,0.92,5,12,0.89,5,8,0.93,5,0.91,5
Alzheimer,ca,h,34550,96,685,68,1114,382,1.615,359,12,0.85,5,13,0.88,5,6,0.95,5,0.89,5
Alzheimer,gl,h,41561,48,889,67,916,152,2,502,6,0.93,5,15,0.86,5,16,0.84,5,0.88,5
Alzheimer,pt,h,35494,89,1499,92,1436,758,5.3,434,9,0.89,5,10,0.91,5,19,0.81,5,0.87,5
Alzheimer,fa,m,33525,93,3730,82,962,434,2.333,314,15,0.8,4,9,0.92,5,12,0.88,5,0.87,5
Alzheimer,pl,h,29430,51,1214,76,1351,605,3.059,389,11,0.86,5,14,0.87,5,15,0.85,5,0.86,5
Alzheimer,tr,m,20102,34,717,48,630,329,1.812,266,17,0.77,4,18,0.83,5,10,0.9,5,0.83,5
Alzheimer,sr,m,28396,132,5454,92,772,223,1.95,157,27,0.63,4,6,0.95,5,13,0.87,5,0.82,5
Alzheimer,vi,m,34371,35,653,60,418,184,2.833,324,14,0.82,5,16,0.85,5,26,0.73,4,0.8,4
Alzheimer,uk,m,23567,104,1818,83,606,325,2.522,199,24,0.68,4,11,0.9,5,18,0.82,5,0.8,4
Alzheimer,th,m,14339,25,326,24,377,82,1.667,343,13,0.83,5,25,0.76,4,21,0.79,4,0.79,4
Alzheimer,nl,m,15223,54,707,55,1333,693,2.579,157,27,0.63,4,19,0.82,5,11,0.89,5,0.78,4
Alzheimer,fi,m,11379,26,564,48,1034,543,3,172,25,0.66,4,22,0.79,4,17,0.83,5,0.76,4
Alzheimer,sh,l,23605,74,3918,69,340,107,2.059,123,30,0.59,3,12,0.89,5,23,0.77,4,0.75,4
Alzheimer,da,h,13005,32,329,21,448,198,3.25,238,22,0.7,4,23,0.78,4,26,0.73,4,0.74,4
Alzheimer,he,m,16311,61,644,79,1373,543,1.75,41,44,0.39,2,17,0.84,5,4,0.97,5,0.73,4
Alzheimer,sv,h,8190,15,629,44,728,416,3.462,143,29,0.61,4,25,0.76,4,22,0.78,4,0.72,4
Alzheimer,bs,l,19793,70,602,42,145,54,2.571,247,19,0.75,4,19,0.82,5,42,0.56,3,0.71,4
Alzheimer,hy,h,16271,25,183,32,373,94,3.25,239,21,0.72,4,24,0.77,4,34,0.65,4,0.71,4
Alzheimer,el,h,11607,20,263,46,347,156,2.556,149,28,0.62,4,24,0.77,4,25,0.74,4,0.71,4
Alzheimer,no,l,17594,21,233,19,494,177,1.5,91,34,0.54,3,27,0.74,4,14,0.86,5,0.71,4
Alzheimer,be,m,16918,23,229,15,259,57,3,304,16,0.79,4,29,0.72,4,40,0.59,3,0.7,4
Alzheimer,id,m,9135,26,292,26,139,76,2.143,106,31,0.58,3,26,0.75,4,35,0.64,4,0.66,4
Alzheimer,ro,m,10294,51,595,38,391,191,3.545,73,37,0.49,3,21,0.8,4,31,0.68,4,0.66,4
Alzheimer,ko,m,7625,20,248,30,362,154,1.875,68,38,0.48,3,31,0.7,4,20,0.8,4,0.66,4
Alzheimer,la,m,7967,51,341,62,341,81,4.769,95,33,0.55,3,20,0.81,5,40,0.59,3,0.65,4
Alzheimer,cs,m,5549,24,277,36,712,298,2.875,54,40,0.45,3,30,0.71,4,21,0.79,4,0.65,4
Alzheimer,kn,m,17706,16,30,15,61,27,1,248,18,0.76,4,38,0.63,4,49,0.49,3,0.63,4
Alzheimer,ms,m,15054,19,117,17,190,74,3.333,233,23,0.69,4,34,0.67,4,44,0.54,3,0.63,4
Alzheimer,eo,m,5578,17,161,11,216,80,2,82,35,0.52,3,38,0.63,4,30,0.69,4,0.61,4
Alzheimer,hu,m,7258,14,154,27,416,190,3.25,63,39,0.46,3,35,0.66,4,29,0.7,4,0.61,4
Alzheimer,sw,m,19150,19,63,16,114,42,4.5,245,20,0.73,4,35,0.66,4,58,0.39,2,0.59,3
Alzheimer,simple,m,4891,24,122,12,497,192,3.2,38,45,0.38,2,37,0.64,4,24,0.76,4,0.59,3
Alzheimer,et,m,3742,7,145,14,147,75,2,50,41,0.44,3,45,0.56,3,33,0.66,4,0.55,3
Alzheimer,sk,m,2400,11,64,7,194,105,2,47,42,0.42,3,50,0.51,3,27,0.72,4,0.55,3
Alzheimer,lt,m,4131,8,119,14,313,97,2.667,42,43,0.41,3,44,0.57,3,32,0.67,4,0.55,3
Alzheimer,ka,h,5760,10,120,9,126,53,4,104,32,0.56,3,42,0.59,3,52,0.46,3,0.54,3
Alzheimer,sl,l,7292,22,179,24,157,66,2.6,29,49,0.32,2,33,0.68,4,39,0.6,3,0.53,3
Alzheimer,eu,l,4593,43,184,25,184,84,3.8,31,48,0.34,2,32,0.69,4,44,0.54,3,0.52,3
Alzheimer,uz,l,6251,17,89,31,52,18,2.25,81,36,0.51,3,36,0.65,4,61,0.36,2,0.51,3
Alzheimer,ba,l,5750,17,16,13,26,7,2,163,26,0.65,4,46,0.55,3,67,0.3,2,0.5,3
Alzheimer,or,m,3927,26,72,11,52,29,2.6,68,38,0.48,3,43,0.58,3,63,0.34,2,0.47,3
Alzheimer,te,m,2107,7,70,18,119,29,2,33,46,0.37,2,49,0.52,3,46,0.52,3,0.47,3
Alzheimer,az,m,4410,11,112,30,136,51,1.667,15,59,0.18,1,40,0.61,4,36,0.63,4,0.47,3
Alzheimer,mk,m,2073,12,110,10,130,47,2.75,24,52,0.28,2,48,0.53,3,47,0.51,3,0.44,3
Alzheimer,oc,m,2796,5,75,7,95,26,2,27,50,0.31,2,51,0.5,3,50,0.48,3,0.43,3
Alzheimer,ml,m,2166,6,26,13,124,44,3,27,50,0.31,2,55,0.46,3,51,0.47,3,0.41,3
Alzheimer,ta,m,2066,20,34,9,172,50,5,23,53,0.27,2,53,0.48,3,49,0.49,3,0.41,3
Alzheimer,is,l,750,2,19,6,195,85,2,13,61,0.15,1,64,0.37,2,28,0.71,4,0.41,3
Alzheimer,hi,m,2269,2,19,6,101,48,2,20,55,0.24,2,58,0.43,3,45,0.53,3,0.4,2
Alzheimer,tt,m,4200,25,51,21,34,29,2,18,57,0.21,2,41,0.6,3,58,0.39,2,0.4,2
Alzheimer,ga,l,1590,18,49,13,147,62,2.5,8,64,0.11,1,52,0.49,3,38,0.61,4,0.4,2
Alzheimer,sd,m,2289,5,12,9,34,12,1.667,32,47,0.35,2,57,0.44,3,60,0.37,2,0.39,2
Alzheimer,bg,l,3454,9,58,15,254,128,3.5,0,72,0,1,47,0.54,3,37,0.62,4,0.39,2
Alzheimer,arz,l,2902,33,97,21,31,21,2,15,59,0.18,1,39,0.62,4,62,0.35,2,0.38,2
Alzheimer,bn,m,2016,5,71,7,87,36,2,9,63,0.13,1,54,0.47,3,48,0.5,3,0.37,2
Alzheimer,be_x_old,m,1851,9,41,5,86,48,4,24,52,0.28,2,56,0.45,3,61,0.36,2,0.36,2
Alzheimer,cy,l,3842,25,53,21,109,55,7.5,7,65,0.1,1,42,0.59,3,57,0.4,2,0.36,2
Alzheimer,fy,l,3201,7,25,8,106,36,4.5,16,58,0.2,1,54,0.47,3,62,0.35,2,0.34,2
Alzheimer,hr,m,914,5,48,3,189,92,4.5,5,67,0.07,1,60,0.41,3,43,0.55,3,0.34,2
Alzheimer,ckb,m,1074,14,8,10,67,27,1,5,67,0.07,1,59,0.42,3,48,0.5,3,0.33,2
Alzheimer,an,l,646,12,23,2,104,48,1.5,0,72,0,1,63,0.38,2,41,0.57,3,0.32,2
Alzheimer,azb,m,5214,27,988,16,24,15,6.333,4,68,0.06,1,28,0.73,4,81,0.15,1,0.31,2
Alzheimer,jv,l,930,1,4,1,52,26,2,12,62,0.14,1,71,0.3,2,56,0.41,3,0.28,2
Alzheimer,sq,l,940,1,6,2,110,32,2,0,72,0,1,69,0.32,2,46,0.52,3,0.28,2
